PM10
36,841
33,634
35,319
29,742
43,343
43,787
51,858
53,457
41,771
54,352
33,294
35,838
39,794
53,626
54,672
43,894
36,534
39,015
31,412
39,82
43,209
43,247
40,885
42,229
34,797
30,97
42,828
46,9
56,243
58,775
40,902
31,632
28,422
42,492
61,359
68,107
73,784
79,42
64,553
48,675
58,014
70,038
69,538
58,008
54,687
45,952
30,475
39,598
41,73
48,33
45,82
44,978
55,549
55,658
50,612
53,903
58,552
48,406
39,661
36,589
37,515
49,673
50,577
52,924
55,336
61,199
55,063
51,705
49,882
68,641
78,967
84,008
67,739
48,783
37,093
35,88
40,9
49,06
59,907
57,016
48,166
56,917
77,742
51,94
45,997
48,741
39,83
39,619
48,09
52,972
54,86
52,235
46,97
53,791
48,84
45,581
44,422
38,735
38,478
52,687
81,087
83,678
65,324
87,096
83,186
92,515
64,572
55,98
50,361
34,508
25,518
43,587
43,611
66,258
86,661
54,765
56,449
59,217
80,285
94,72
77,622
99,1
94,352
47,819
49,204
67,932
75,645
82,638
86,515
66,237
61,252
83,833
86,794
52,832
58,889
75,808
72,283
68,508
89,022
97,534
83,655
57,398
46,015
40,832
27,584
57,061
62,071
56,925
26,068
30,139
40,348
36,697
55,647
94,481
76,791
50,119
49,438
40,001
39,089
70,492
93,601
100,32
62,301
98,207
51,818
26,649
39,219
66,67
78,975
73,343
61,89
61,948
52,478
66,561
68,869
104,533
84,055
68,881
48,419
37,816
36,307
48,633
73,087
76,176
77,469
49,072
60,571
88,018
75,884
90,038
123,753
102,706
69,534
64,483
105,808
147,408
141,655
129,638
66,744
74,961
97,178
59,059
57,236
56,497
46,959
51,331
53,974
82,355
132,24
145,888
121,795
103,952
147,259
148,15
106,487
59,158
26,879
49,602
72,233
30,158
26,222
32,48
55,688
91,812
86,09
84,432
111,227
121,726
123,306
99,497
97,834
102,022
95,109
92,098
52,441
29,449
40,437
52,875
77,113
95,22
107,661
110,963
90,646
108,549
120,765
132,792
152,976
97,191
45,955
59,144
103,65
150,489
50,485
34,41
70,961
113,717
49,659
31,075
49,359
57,112
50,922
58,824
49,925
26,588
31,229
51,678
65,747
63,89
30,816
31,636
43,714
50,599
42,955
50,017
38,517
31,633
53,426
60,812
47,041
33,326
36,52
64,078
91,945
63,475
73,376
74,875
60,325
74,832
51,412
39,619
33,381
39,523
35,556
48,199
40,562
34,541
53,411
73,364
43,218
53,001
69,322
81,587
51,601
61,688
63,134
42,499
51,655
37,531
47,737
67,961
63,308
43,653
50,565
99,133
98,228
72,944
79,685
48,871
26,877
37,922
50,927
37,668
32,051
43,319
54,37
47,938
46,672
40,365
38,898
42,872
45,472
37,075
43,873
39,691
52,262
40,948
53,832
61,694
65,241
64,922
46,218
48,568
58,278
51,662
59,873
67,465
47,408
32,588
35,633
49,994
35,432
44,781
45,595
41,559
37,005
52,238
50,731
54,308
40,713
46,513
38,002
32,869
37,888
52,08
40,815
